Parent and Person SubClassOf Father, True
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Parent and Person and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some Brother), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and GrandMother)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and GrandMother and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and GrandMother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Female and GrandMother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Father and Female and GrandMother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Father and Female and GrandMother and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Father and Female and GrandMother and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Father and Female and GrandMother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandMother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandMother and Man and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandMother and Man and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
GrandMother SubClassOf Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), \nTrue
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), True.
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), Here are
Thing SubClassOf GrandMother, True
Female SubClassOf GrandMother, True
Father SubClassOf GrandMother, True
Child SubClassOf GrandMother, True
Parent SubClassOf GrandMother, \nFalse
Daughter SubClassOf GrandMother, True
Man SubClassOf GrandMother, True
Mother SubClassOf GrandMother, True
Sex SubClassOf GrandMother, \nFalse
Sister SubClassOf GrandMother, True
Woman SubClassOf GrandMother, True
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasParent some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sister and Son and Woman and Thing)) and (hasSibling some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Man and Mother and Parent and Person and Sex and Sister and Son and Woman and Thing)), Here are
